hashtag,hashtag_count,post_link,post_pk,caption_id,post_date,media_type,username,post_text,is_commercial?,likes,comments,IG_auto_desc,image_url
fungi,3709095,https://www.instagram.com/p/C7Mg6iMo48m,3372214980930932518,17898977918918441,2024-05-20 15:36:13,Single Image,shawnwells,"Here’s what big ph*rm@ doesn’t want you to know…

Mushrooms are revolutionizing modern medicine!

From boosting immunity to sharpening your mind, these versatile fungi offer a bounty of health benefits that are hard to ignore.

What really makes them game changers are these key ingredients:

- Polysaccharides - complex sugars that stimulate the immune system and have been shown to have anti-inflammatory and antioxidant effects.
- Beta-glucans - type of soluble fiber that helps regulate the immune system by binding to immune cells and stimulate them to attack invading pathogens, while also reducing inflammation in the body.
- Active hexose correlated compound - nutritional product extracted from a variety of mushrooms that is commonly used to prevent and treat cancer. It contains a mixture of the polysaccharides, amino acids and minerals.

I have experienced the amazing benefits first hand.

My go-tos are @real_mushrooms and @thegeniusbrand.

For more on mushrooms, drop the words “Mushroom guide” for my FREE in depth guide on the subject

Have you also had an amazing experience with using mushrooms?

#medicinalmushroom #fungi #fungilove #mushroomlove #mushroom #mushrooms",not_commercial,463,42,"Photo by 𝗦𝗵𝗮𝘄𝗻 𝗪𝗲𝗹𝗹𝘀 𝗠𝗣𝗛 𝗥𝗗 𝗖𝗜𝗦𝗦𝗡 𝗙𝗜𝗦𝗦𝗡 on May 20, 2024. May be a Twitter screenshot of 1 person, shiitake mushrooms, mushroom and text that says 'SHAWN WELLS, MPH RD, LDN, FISSN @shawnwells know your mushrooms Maitake: Weightloss & digestive support Cordyceps: Energy boost and recovery Shitake: Nurtures skin & supports liver Reishi: Calm body and deeper sleep Chaga: Supercharged immunity Lion's Mane: Cognitive booster'.",https://instagram.ftlv27-1.fna.fbcdn.net/v/t39.30808-6/441194873_18436995793015183_5897724158877825507_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMzQ3eDE2Nzkuc2RyLmYzMDgwOCJ9&_nc_ht=instagram.ftlv27-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=u8VWrR276fwQ7kNvgHdz307&edm=AGyKU4gAAAAA&ccb=7-5&ig_cache_key=MzM3MjIxNDk4MDkzMDkzMjUxOA%3D%3D.2-ccb7-5&oh=00_AYAeXoaNq5mqtEcFkMz9DyPmRzQE31zCRF_2AiPphEDtDA&oe=6666BFDC&_nc_sid=2011ad
fungi,3709095,https://www.instagram.com/p/C7LnpVlPkJ3,3371963110502842999,17887837152041275,2024-05-20 07:15:48,Single Image,leemail67,"Apparently Gliophorus viridis can vary from pale, through teal green. This is definitely at the teal end of the scale. I was a very happy photographer when I spotted these in a wee mossy knoll!

🆔 Gliophorus viridis 
📍 Mokaihaha Ecological Reserve 
🗓️ 7 May 2024 
📷 Olympus E-M5 Mkii
🔬 M.Zuiko 30mm f3.5 macro

#olympus #em5markii #fungi #fungifoto #FantasticFungi #nzfungi #lovefungi #mycologists #fungus #fungilover #fungifetish #fungiofinstagram #fungifanatic #fungiphotography #mushroom #mushrooms #mushroomhunting #mushrooms_of_our_world #mushroomhunter #mycology #funginewzealand #mycography #allthemushroomhashtags #mushroomsofinstagram #mushlove #mushroomlove #gliophorusviridis",not_commercial,7562,56,"Photo by Lee Ormsby Andricksen on May 20, 2024. May be an image of mushroom and text.",https://instagram.ftlv27-1.fna.fbcdn.net/v/t51.29350-15/444500969_814925486842510_247374699371162267_n.webp?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0NDAuc2RyLmYyOTM1MCJ9&_nc_ht=instagram.ftlv27-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=CN_Zbmr8v1EQ7kNvgEe7qn9&edm=AGyKU4gBAAAA&ccb=7-5&ig_cache_key=MzM3MTk2MzExMDUwMjg0Mjk5OQ%3D%3D.2-ccb7-5&oh=00_AYBITR_LnlfXNniXB55rFEE84DkPniVp4chDzRlIOOKLVA&oe=6666D6A3&_nc_sid=2011ad
fungi,3709095,https://www.instagram.com/p/C7yeDeEP54i,3382898449945959970,18033714025985760,2024-06-04 09:22:22,Carousel,kinokonoko24,"キレイな色😍
#トキイロヒラタケ　#Pleurotussalmoneostramineus　#キノコ　#きのこ　#茸　#菌　#菌類　#お散歩　#お散歩大好き　#noko散歩　#キノコ大好き　#きのこ大好き　#自然　#散策　#nature  #mushroom  #mushrooms  #mushroomhunter  #mushroomhunting  #mushroomlover  #mushroomspotting  #mushroomsociety  #mycology  #fungi  #fungifreaks  #fungus  #버섯　6月4日",not_commercial,184,8,"Photo by noko on June 04, 2024. May be an image of mushroom.",https://instagram.ftlv27-1.fna.fbcdn.net/v/t51.29350-15/447619913_424252503860357_4071290716504873426_n.heic?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0NDAuc2RyLmYyOTM1MCJ9&_nc_ht=instagram.ftlv27-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=CKjErqDqOqYQ7kNvgHDR-k8&edm=AGyKU4gBAAAA&ccb=7-5&ig_cache_key=MzM4Mjg5ODQ0MDkwMjk1NzI2Mw%3D%3D.2-ccb7-5&oh=00_AYC-dNaImblMSsTZJ1eTn8BIJ9KR8OexgJqLmh7uNC8QzQ&oe=6666EC81&_nc_sid=2011ad
fungi,3709095,https://www.instagram.com/p/C7yeDeEP54i,3382898449945959970,18033714025985760,2024-06-04 09:22:22,Carousel,kinokonoko24,"キレイな色😍
#トキイロヒラタケ　#Pleurotussalmoneostramineus　#キノコ　#きのこ　#茸　#菌　#菌類　#お散歩　#お散歩大好き　#noko散歩　#キノコ大好き　#きのこ大好き　#自然　#散策　#nature  #mushroom  #mushrooms  #mushroomhunter  #mushroomhunting  #mushroomlover  #mushroomspotting  #mushroomsociety  #mycology  #fungi  #fungifreaks  #fungus  #버섯　6月4日",not_commercial,184,8,"Photo by noko on June 04, 2024. May be an image of mushroom.",https://instagram.ftlv27-1.fna.fbcdn.net/v/t51.29350-15/447849375_3440207669610535_6825774654327103764_n.heic?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0NDAuc2RyLmYyOTM1MCJ9&_nc_ht=instagram.ftlv27-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=R_kd_pdoN-8Q7kNvgHA6-5l&edm=AGyKU4gBAAAA&ccb=7-5&ig_cache_key=MzM4Mjg5ODQ0MDc3NzAzNjgyNg%3D%3D.2-ccb7-5&oh=00_AYD0jzph24d9haC9DT40ZM4xpszIXDgJIPMrR8J8gI5dvQ&oe=6666BC92&_nc_sid=2011ad
fungi,3709095,https://www.instagram.com/p/C7yeDeEP54i,3382898449945959970,18033714025985760,2024-06-04 09:22:22,Carousel,kinokonoko24,"キレイな色😍
#トキイロヒラタケ　#Pleurotussalmoneostramineus　#キノコ　#きのこ　#茸　#菌　#菌類　#お散歩　#お散歩大好き　#noko散歩　#キノコ大好き　#きのこ大好き　#自然　#散策　#nature  #mushroom  #mushrooms  #mushroomhunter  #mushroomhunting  #mushroomlover  #mushroomspotting  #mushroomsociety  #mycology  #fungi  #fungifreaks  #fungus  #버섯　6月4日",not_commercial,184,8,"Photo by noko on June 04, 2024. May be an image of mushroom.",https://instagram.ftlv27-1.fna.fbcdn.net/v/t51.29350-15/447804920_486577957126745_6210581744965358789_n.heic?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0NDAuc2RyLmYyOTM1MCJ9&_nc_ht=instagram.ftlv27-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=O9WZ68Bx_7EQ7kNvgHW8I6Q&edm=AGyKU4gBAAAA&ccb=7-5&ig_cache_key=MzM4Mjg5ODQ0MDg5NDU2OTA0Nw%3D%3D.2-ccb7-5&oh=00_AYD1pIDmKFrKhpwHhhOZWL5UWNfEi-kz7JFJxfsPnAOETQ&oe=6666CA61&_nc_sid=2011ad
fungi,3709095,https://www.instagram.com/p/C7yeDeEP54i,3382898449945959970,18033714025985760,2024-06-04 09:22:22,Carousel,kinokonoko24,"キレイな色😍
#トキイロヒラタケ　#Pleurotussalmoneostramineus　#キノコ　#きのこ　#茸　#菌　#菌類　#お散歩　#お散歩大好き　#noko散歩　#キノコ大好き　#きのこ大好き　#自然　#散策　#nature  #mushroom  #mushrooms  #mushroomhunter  #mushroomhunting  #mushroomlover  #mushroomspotting  #mushroomsociety  #mycology  #fungi  #fungifreaks  #fungus  #버섯　6月4日",not_commercial,184,8,"Photo by noko on June 04, 2024. May be an image of mushroom.",https://instagram.ftlv27-1.fna.fbcdn.net/v/t51.29350-15/447612624_1920204195116820_3002657129667145462_n.heic?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0NDAuc2RyLmYyOTM1MCJ9&_nc_ht=instagram.ftlv27-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=g7bMaHhPliwQ7kNvgE34jGs&edm=AGyKU4gBAAAA&ccb=7-5&ig_cache_key=MzM4Mjg5ODQ0MDc3NzA3MDg2NQ%3D%3D.2-ccb7-5&oh=00_AYAGoFujMDQslER8AddMWetIF9ax8sGBoajoOqXLa9L1sQ&oe=6666F00D&_nc_sid=2011ad
fungi,3709095,https://www.instagram.com/p/C7yeDeEP54i,3382898449945959970,18033714025985760,2024-06-04 09:22:22,Carousel,kinokonoko24,"キレイな色😍
#トキイロヒラタケ　#Pleurotussalmoneostramineus　#キノコ　#きのこ　#茸　#菌　#菌類　#お散歩　#お散歩大好き　#noko散歩　#キノコ大好き　#きのこ大好き　#自然　#散策　#nature  #mushroom  #mushrooms  #mushroomhunter  #mushroomhunting  #mushroomlover  #mushroomspotting  #mushroomsociety  #mycology  #fungi  #fungifreaks  #fungus  #버섯　6月4日",not_commercial,184,8,"Photo by noko on June 04, 2024.",https://instagram.ftlv27-1.fna.fbcdn.net/v/t51.29350-15/447660886_391055119951678_1705153965734673832_n.heic?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE0NDAuc2RyLmYyOTM1MCJ9&_nc_ht=instagram.ftlv27-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=GCDj6txZokYQ7kNvgF00ruv&edm=AGyKU4gBAAAA&ccb=7-5&ig_cache_key=MzM4Mjg5ODQ0MDkxOTYyNDMxOA%3D%3D.2-ccb7-5&oh=00_AYA0Klw_66eh64WctCV4Alv1JuZkGAiKRqEILwQ_BoIkMA&oe=6666EBD8&_nc_sid=2011ad
fungi,3709095,https://www.instagram.com/p/C71M4O2vn4e,3383667335838465566,18026174912278021,2024-06-05 10:50:00,Single Image,fungi_photographer,"🍄 🥰 🍄 🐛 🍄 🐌 🍄

🆔 𝘔𝘺𝘤𝘦𝘯𝘢 𝘪𝘯𝘵𝘦𝘳𝘳𝘶𝘱𝘵𝘢 

🌐 Arnold Dam, Moana,  New Zealand 

⏰ 5th June 2024

Possibly the best 𝘔𝘺𝘤𝘦𝘯𝘢 𝘪𝘯𝘵𝘦𝘳𝘳𝘶𝘱𝘵𝘢 shot Inhaber ever taken. Thanks to this nice cluster Nadine Campbell and I found conveniently located at the entrance of Arnold Dam Track. I thought it was purposely left at the side of the track from @kiwichickjo, but turns out it might be the works of Mother Nature itself.

A gift 🎁 from the forest to hardworking fungi photographers, I guess 😂😁
--------------------------------------------

📷 𝗢𝗹𝘆𝗺𝗽𝘂𝘀 𝗢𝗠𝗗 𝗘𝗠𝟭 𝗠𝗮𝗿𝗸𝗜𝗜𝗜
🔭 𝗭𝘂𝗶𝗸𝗼 𝟲𝟬𝗺𝗺 𝗠𝗮𝗰𝗿𝗼 𝗟𝗲𝗻𝘀
⚙️ 𝟭/𝟭𝟯 𝘀𝗲𝗰, 𝗙𝟮.𝟴
📚 𝟰𝟲 𝗽𝗵𝗼𝘁𝗼𝘀 𝘀𝘁𝗮𝗰𝗸𝗲𝗱 𝘄𝗶𝘁𝗵 𝗛𝗲𝗹𝗶𝗰𝗼𝗻 𝗙𝗼𝗰𝘂𝘀 𝗣𝗿𝗼

--------------------------------------------

#mycenainterrupta #pixiesparasol
 #mushroomofinstagram #mushroomsofnewzealand #fantasticfungi #fungi #fungiofinstagram 
#macrofungi  #nature 
#mushroomphotography
@omsystem.cameras
#champignons
#svampe 
#pilze #kinoko #cendawan #hongos #beoseos #버섯 #funghi #earthday #paddestoel #champiñón #sieni  #sveppir  #arnolddam #westcoastnz  #focusstacking  #fungling",not_commercial,210,2,Photo by Benny CHIA in Arnold River dam. May be an image of mushroom.,https://instagram.ftlv27-1.fna.fbcdn.net/v/t51.29350-15/447861416_825867576136215_5130480985134150766_n.webp?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDEzODYuc2RyLmYyOTM1MCJ9&_nc_ht=instagram.ftlv27-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=zsI1db6IUVYQ7kNvgGmmc5k&edm=AGyKU4gBAAAA&ccb=7-5&ig_cache_key=MzM4MzY2NzMzNTgzODQ2NTU2Ng%3D%3D.2-ccb7-5&oh=00_AYAId7Ph95p7c5QOz898x8v9WvUGVQzBGY1YW2IiPGPvkg&oe=6666E9E2&_nc_sid=2011ad
fungi,3709095,https://www.instagram.com/p/C7qbdPcPaO5,3380635226995532729,17907172376964539,2024-06-01 06:25:45,Carousel,fungi_photographer,"🍄 🥰 🍄 🐛 🍄 🐌 🍄

🆔 𝘌𝘯𝘵𝘰𝘭𝘰𝘮𝘢 𝘸𝘢𝘪𝘬𝘢𝘳𝘦𝘮𝘰𝘢𝘯𝘢

🌐 Arnold Dam, Moana,  New Zealand 

⏰ 1st June 2024

Definitely my favorite first find of 2023/2024 fungi season. 

𝘌𝘯𝘵𝘰𝘭𝘰𝘮𝘢 𝘸𝘢𝘪𝘬𝘢𝘳𝘦𝘮𝘰𝘢𝘯𝘢 is definitely the crown jewel 👑 of this genus, even better than Werewere Kokako. The marginated gills in the unique sea green color, with the creamy color gills. They are so tiny, I wouldn't have spotted it without @kiwichickjo's eagle eyes again. And, blessed the weather was better than the unreliable forecast.

--------------------------------------------

 𝗣𝗵𝗼𝘁𝗼 𝟭
📷 𝗢𝗹𝘆𝗺𝗽𝘂𝘀 𝗢𝗠𝗗 𝗘𝗠𝟭 𝗠𝗮𝗿𝗸𝗜𝗜𝗜
🔭 𝗭𝘂𝗶𝗸𝗼 𝟲𝟬𝗺𝗺 𝗠𝗮𝗰𝗿𝗼 𝗟𝗲𝗻𝘀
⚙️ 𝟭/𝟮 𝘀𝗲𝗰, 𝗙𝟮.𝟴
📚 𝟯𝟱 𝗽𝗵𝗼𝘁𝗼𝘀 𝘀𝘁𝗮𝗰𝗸𝗲𝗱 𝘄𝗶𝘁𝗵 𝗛𝗲𝗹𝗶𝗰𝗼𝗻 𝗙𝗼𝗰𝘂𝘀 𝗣𝗿𝗼

𝗣𝗵𝗼𝘁𝗼 𝟮
📷 𝗢𝗹𝘆𝗺𝗽𝘂𝘀 𝗢𝗠𝗗 𝗘𝗠𝟭 𝗠𝗮𝗿𝗸𝗜𝗜𝗜
🔭 𝗭𝘂𝗶𝗸𝗼 𝟲𝟬𝗺𝗺 𝗠𝗮𝗰𝗿𝗼 𝗟𝗲𝗻𝘀
⚙️ 𝟭 𝘀𝗲𝗰, 𝗙𝟮.𝟴
📚 𝟭𝟯 𝗽𝗵𝗼𝘁𝗼𝘀 𝘀𝘁𝗮𝗰𝗸𝗲𝗱 𝘄𝗶𝘁𝗵 𝗛𝗲𝗹𝗶𝗰𝗼𝗻 𝗙𝗼𝗰𝘂𝘀 𝗣𝗿𝗼

𝗣𝗵𝗼𝘁𝗼 𝟯
📷 𝗢𝗹𝘆𝗺𝗽𝘂𝘀 𝗢𝗠𝗗 𝗘𝗠𝟭 𝗠𝗮𝗿𝗸𝗜𝗜𝗜
🔭 𝗭𝘂𝗶𝗸𝗼 𝟲𝟬𝗺𝗺 𝗠𝗮𝗰𝗿𝗼 𝗟𝗲𝗻𝘀
⚙️ 𝟭 𝟭/𝟯 𝘀𝗲𝗰, 𝗙𝟮.𝟴
📚 𝟭𝟱 𝗽𝗵𝗼𝘁𝗼𝘀 𝘀𝘁𝗮𝗰𝗸𝗲𝗱 𝘄𝗶𝘁𝗵 𝗛𝗲𝗹𝗶𝗰𝗼𝗻 𝗙𝗼𝗰𝘂𝘀 𝗣𝗿𝗼

--------------------------------------------

#entolomawaikaremoana #seagreen
 #mushroomofinstagram #mushroomsofnewzealand #fantasticfungi #fungi #fungiofinstagram 
#macrofungi  #nature 
#mushroomphotography
@omsystem.cameras
#champignons
#svampe 
#pilze #kinoko #cendawan #hongos #beoseos #버섯 #funghi #earthday #paddestoel #champiñón #sieni  #sveppir  #arnolddam #westcoastnz  #focusstacking  #fungling",not_commercial,1267,8,"Photo by Benny CHIA on May 31, 2024. May be an image of mushroom and text.",https://instagram.ftlv27-1.fna.fbcdn.net/v/t51.29350-15/447045750_1433121490652885_2768526376644003202_n.webp?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE2MjEuc2RyLmYyOTM1MCJ9&_nc_ht=instagram.ftlv27-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=rGyFBMic_JcQ7kNvgGAP45O&edm=AGyKU4gBAAAA&ccb=7-5&ig_cache_key=MzM4MDYzNTIyMTYxODU1MDE3Ng%3D%3D.2-ccb7-5&oh=00_AYAoVBV_O9gmN9Mrrnd30g0HVbZcsje8h_r6phdLMSOA-w&oe=6666DADD&_nc_sid=2011ad
fungi,3709095,https://www.instagram.com/p/C7qbdPcPaO5,3380635226995532729,17907172376964539,2024-06-01 06:25:45,Carousel,fungi_photographer,"🍄 🥰 🍄 🐛 🍄 🐌 🍄

🆔 𝘌𝘯𝘵𝘰𝘭𝘰𝘮𝘢 𝘸𝘢𝘪𝘬𝘢𝘳𝘦𝘮𝘰𝘢𝘯𝘢

🌐 Arnold Dam, Moana,  New Zealand 

⏰ 1st June 2024

Definitely my favorite first find of 2023/2024 fungi season. 

𝘌𝘯𝘵𝘰𝘭𝘰𝘮𝘢 𝘸𝘢𝘪𝘬𝘢𝘳𝘦𝘮𝘰𝘢𝘯𝘢 is definitely the crown jewel 👑 of this genus, even better than Werewere Kokako. The marginated gills in the unique sea green color, with the creamy color gills. They are so tiny, I wouldn't have spotted it without @kiwichickjo's eagle eyes again. And, blessed the weather was better than the unreliable forecast.

--------------------------------------------

 𝗣𝗵𝗼𝘁𝗼 𝟭
📷 𝗢𝗹𝘆𝗺𝗽𝘂𝘀 𝗢𝗠𝗗 𝗘𝗠𝟭 𝗠𝗮𝗿𝗸𝗜𝗜𝗜
🔭 𝗭𝘂𝗶𝗸𝗼 𝟲𝟬𝗺𝗺 𝗠𝗮𝗰𝗿𝗼 𝗟𝗲𝗻𝘀
⚙️ 𝟭/𝟮 𝘀𝗲𝗰, 𝗙𝟮.𝟴
📚 𝟯𝟱 𝗽𝗵𝗼𝘁𝗼𝘀 𝘀𝘁𝗮𝗰𝗸𝗲𝗱 𝘄𝗶𝘁𝗵 𝗛𝗲𝗹𝗶𝗰𝗼𝗻 𝗙𝗼𝗰𝘂𝘀 𝗣𝗿𝗼

𝗣𝗵𝗼𝘁𝗼 𝟮
📷 𝗢𝗹𝘆𝗺𝗽𝘂𝘀 𝗢𝗠𝗗 𝗘𝗠𝟭 𝗠𝗮𝗿𝗸𝗜𝗜𝗜
🔭 𝗭𝘂𝗶𝗸𝗼 𝟲𝟬𝗺𝗺 𝗠𝗮𝗰𝗿𝗼 𝗟𝗲𝗻𝘀
⚙️ 𝟭 𝘀𝗲𝗰, 𝗙𝟮.𝟴
📚 𝟭𝟯 𝗽𝗵𝗼𝘁𝗼𝘀 𝘀𝘁𝗮𝗰𝗸𝗲𝗱 𝘄𝗶𝘁𝗵 𝗛𝗲𝗹𝗶𝗰𝗼𝗻 𝗙𝗼𝗰𝘂𝘀 𝗣𝗿𝗼

𝗣𝗵𝗼𝘁𝗼 𝟯
📷 𝗢𝗹𝘆𝗺𝗽𝘂𝘀 𝗢𝗠𝗗 𝗘𝗠𝟭 𝗠𝗮𝗿𝗸𝗜𝗜𝗜
🔭 𝗭𝘂𝗶𝗸𝗼 𝟲𝟬𝗺𝗺 𝗠𝗮𝗰𝗿𝗼 𝗟𝗲𝗻𝘀
⚙️ 𝟭 𝟭/𝟯 𝘀𝗲𝗰, 𝗙𝟮.𝟴
📚 𝟭𝟱 𝗽𝗵𝗼𝘁𝗼𝘀 𝘀𝘁𝗮𝗰𝗸𝗲𝗱 𝘄𝗶𝘁𝗵 𝗛𝗲𝗹𝗶𝗰𝗼𝗻 𝗙𝗼𝗰𝘂𝘀 𝗣𝗿𝗼

--------------------------------------------

#entolomawaikaremoana #seagreen
 #mushroomofinstagram #mushroomsofnewzealand #fantasticfungi #fungi #fungiofinstagram 
#macrofungi  #nature 
#mushroomphotography
@omsystem.cameras
#champignons
#svampe 
#pilze #kinoko #cendawan #hongos #beoseos #버섯 #funghi #earthday #paddestoel #champiñón #sieni  #sveppir  #arnolddam #westcoastnz  #focusstacking  #fungling",not_commercial,1267,8,"Photo by Benny CHIA on May 31, 2024. May be an image of mushroom and text.",https://instagram.ftlv27-1.fna.fbcdn.net/v/t51.29350-15/447174757_1186004665910205_7030394858497242714_n.webp?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE2MjEuc2RyLmYyOTM1MCJ9&_nc_ht=instagram.ftlv27-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=WznavTJBtS0Q7kNvgGgSjNb&edm=AGyKU4gBAAAA&ccb=7-5&ig_cache_key=MzM4MDYzNTIyMTQ4NDMzNDQ2Mw%3D%3D.2-ccb7-5&oh=00_AYCEziejo7vIzhEzclWUfQl6aJ3xF2Icv7w8OzJinxnvww&oe=6666D894&_nc_sid=2011ad
