,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
441194873_18436995793015183_5897724158877825507_n.jpg,1.5892590901267818,-0.04286917383829012,-0.17381011291210913,-0.7294029832251133,-0.1393588298824604,0.68398269419128,0.0984295773805603,0.0018570620010741248,-0.07704682070951184,-0.09445830957120357
441194873_18436995793015183_5897724158877825507_n.jpg,1.5892590901268,-0.04286917383827077,-0.1738101129121086,-0.7294029832251325,-0.13935882988247145,0.6839826941912859,0.09842957738055037,0.0018570620010758378,-0.07704682070950603,-0.09445830957121752
444500969_814925486842510_247374699371162267_n.webp,0.06442405998065955,0.3089946542746055,-0.47299229905329077,0.3229241754396144,-0.35857276625704654,-0.10280321239348521,0.037009442194623585,0.12102871834914775,0.022538353742018298,-0.03228364569710842
444500969_814925486842510_247374699371162267_n.webp,0.06442405998065458,0.3089946542746017,-0.472992299053288,0.32292417543961005,-0.35857276625704493,-0.10280321239348401,0.03700944219462147,0.12102871834914829,0.022538353742020012,-0.03228364569711002
444500969_814925486842510_247374699371162267_n.webp,0.06442405998065912,0.3089946542746091,-0.47299229905329593,0.32292417543961593,-0.3585727662570435,-0.10280321239348487,0.03700944219462392,0.12102871834914933,0.02253835374201807,-0.032283645697113166
444500969_814925486842510_247374699371162267_n.webp,0.06602764796090119,0.3088316056375719,-0.473162664323077,0.32316412404753886,-0.3584802456406124,-0.10202374754097264,0.03698858431736701,0.12097955527427234,0.022819586895442823,-0.032083918497717384
444500969_814925486842510_247374699371162267_n.webp,0.06442405998065535,0.3089946542746053,-0.47299229905329115,0.3229241754396128,-0.3585727662570458,-0.10280321239348515,0.03700944219462124,0.12102871834914765,0.022538353742019623,-0.0322836456971088
447619913_424252503860357_4071290716504873426_n.heic,0.5177083613239298,-0.8356723449190618,0.11462529473195687,0.15205149639455937,-0.1539054860211878,-0.0823906324648113,0.03496510190120511,0.07752674198624547,-0.20495480527661727,-0.1860054079451546
447619913_424252503860357_4071290716504873426_n.heic,0.5191168764900986,-0.8357307197603085,0.11450567580891481,0.15223370070843678,-0.153884409445568,-0.08067418683579572,0.03524867926812244,0.0775503647186709,-0.2049637762064635,-0.18620525689394415
447849375_3440207669610535_6825774654327103764_n.heic,0.7933189846745237,-0.8613001945067663,0.08938996693324087,0.21332649101214035,-0.09532929749994876,-0.12880129901422274,-0.015704535704200724,0.034687768647968575,-0.20032464994534321,-0.04714189751734319
447849375_3440207669610535_6825774654327103764_n.heic,0.793318984674527,-0.8613001945067644,0.08938996693324283,0.21332649101214235,-0.09532929749995053,-0.12880129901422174,-0.0157045357041968,0.034687768647968825,-0.20032464994534555,-0.04714189751734395
447804920_486577957126745_6210581744965358789_n.heic,0.04527660680051572,0.38562837219549884,0.340213160911956,0.08751375149465132,0.008815608985546277,0.043862540140112566,-0.06668405296958738,-0.010056062573103514,-0.05180245254442891,0.027869471090794126
447804920_486577957126745_6210581744965358789_n.heic,0.045276606800462936,0.3856283721955047,0.34021316091196196,0.0875137514946431,0.008815608985541375,0.0438625401401061,-0.06668405296958722,-0.010056062573102532,-0.05180245254442948,0.02786947109079181
447612624_1920204195116820_3002657129667145462_n.heic,-0.19762057170296227,-0.052234380021884366,0.333344351155636,0.8141968144517027,-0.09240933798152695,0.015131200728702483,-0.06992371151131632,-0.05160083309534996,-0.061311253647754395,-0.03517667405714053
447612624_1920204195116820_3002657129667145462_n.heic,-0.1976205717029409,-0.05223438002188745,0.3333443511556332,0.8141968144517062,-0.09240933798152402,0.015131200728690977,-0.06992371151131808,-0.051600833095351184,-0.06131125364775563,-0.03517667405713948
